shot,media,in,motion,rate,anchor,effects,notes
0:00,,,,,,,"A calendar can be a foreign policy instrument. In Europe, on…"
0:08,,,,,,,The eighth and the ninth of May. Two dates for the end of th…
0:16,,,,,,,How did one night in Berlin-Karlshorst produce two Victory D…
0:21,,,,,,,"Reims, France. The seventh of May. Colonel General Jodl sign…"
0:33,,,,,,,But Jodl is a staff officer with no real power of command. A…
0:46,,,,,,,So the Reims protocol demands a second signature. From the m…
0:53,,,,,,,The place is fixed: Soviet High Command headquarters in Berl…
1:01,,,,,,,"But to secure an immediate ceasefire, President Truman and P…"
1:09,,,,,,,"While London and Washington begin celebrating, Karlshorst st…"
1:14,,,,,,,The Russian translation arrives incomplete. Wording is argue…
1:20,,,,,,,The German High Command signs at about a quarter to one in t…
1:28,,,,,,,In the West the war had already been declared over. On the e…
1:35,,,,,,,In Moscow the announcement came only after Karlshorst. May n…
1:49,,,,,,,It is still commemorated that way in Russia and across the p…
1:59,,,,,,,"Latvia, Estonia and Lithuania dropped the ninth from the sta…"
2:07,,,,,,,Poland moved its commemoration to the eighth in 2015. Ukrain…
2:17,,,,,,,Thus the delay in Karlshorst contributed to today's disputes…
2:25,,,,,,,Does that make remembering harder — or freer?
